model_name,loss_function,optimizer,scheduler,learning_rate,batch_size,per_image_accuracy,per_class_accuracy,MACs,wall_time,history
resnet18-freeze,cross_entropy,adam,step,1.0000000000000002e-06,512,0.9272049878345499,0.3254320814267616,1816.090624,6747.738619089127,"{'train_loss': [0.4934928347178611, 0.2990172446473703, 0.27184590993624025, 0.2575249334535403, 0.25117053258573263, 0.24576976635551342, 0.24215789942747573, 0.23922022272008506, 0.23761938738555313, 0.23382743247906365, 0.22600326081798802, 0.22550455871927025, 0.22460328095329055, 0.22419014280427707, 0.2238850165611019, 0.22556765872836773, 0.2257210062831277, 0.22398659697149628, 0.22436877673807726, 0.22471168433071725, 0.22283898887967918, 0.22246234595976444, 0.22289869015477864, 0.22146253734109653, 0.22200707529007419, 0.2216599314191276, 0.221876671728236, 0.22216483676350637, 0.22179673230561142, 0.22287830335215353, 0.22276994926754914], 'train_acc': [0.8718470732656061, 0.9099272042071017, 0.9158832236260489, 0.9186818960247738, 0.920247940146804, 0.9220312097438255, 0.9223848326100904, 0.9233042520623791, 0.9230415607902965, 0.9245318285838414, 0.9261685972791246, 0.9265474789215513, 0.9267495491308455, 0.9272900869407076, 0.9268505842354926, 0.9265777894529454, 0.9260827174401746, 0.9267242903546837, 0.926557582432016, 0.9264363403064395, 0.9267293421099161, 0.926855635990725, 0.9269920333819985, 0.9274770018843047, 0.9274770018843047, 0.9275477264575577, 0.9271486377942015, 0.9277194861354577, 0.9272799834302429, 0.9270577062000191, 0.9276841238488313], 'train_class_acc': [0.25679871153616196, 0.4470834250519161, 0.5022936777343947, 0.533722080298464, 0.5577220488472517, 0.573601047878619, 0.5809598908429924, 0.5895933146521118, 0.5920874069864686, 0.5969745527129068, 0.6188353940370822, 0.6228706197716559, 0.6279179051309589, 0.6259546321314128, 0.626131362928863, 0.6193487427241637, 0.6187765920247759, 0.6250280720373256, 0.6289230245984909, 0.6269626811098442, 0.6246935582529226, 0.6302599421719732, 0.6261467336804497, 0.6282354850209926, 0.6291005708926156, 0.6299886281436179, 0.6254046390821694, 0.6290044241449703, 0.6273778191578764, 0.6275576075448961, 0.6306826779463358], 'train_epoch_duration': [238.84723043441772, 207.05974531173706, 199.56624698638916, 200.117280960083, 199.45254707336426, 199.0247392654419, 203.06240057945251, 198.84688425064087, 200.72242212295532, 201.71085619926453, 199.42582964897156, 203.54564905166626, 200.99708151817322, 200.276997089386, 200.50828552246094, 199.67405247688293, 204.04056811332703, 200.04079008102417, 199.93613576889038, 198.91159892082214, 200.7649803161621, 204.3942470550537, 199.71453070640564, 201.9432089328766, 199.67047810554504, 199.63914012908936, 203.84050679206848, 199.5203378200531, 199.25637793540955, 199.29627537727356, 200.03495287895203], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.33416751001003014, 0.2504502076737202, 0.23611839731244275, 0.2347018719082041, 0.2340882302490754, 0.2335037074747457, 0.23387798755418354], 'val_acc': [0.9006995133819952, 0.9224300486618006, 0.9266119221411193, 0.9268552311435524, 0.9269464720194648, 0.9271441605839417, 0.92720498783455], 'val_class_acc': [0.37714399733274595, 0.5657668514877039, 0.5834056287929257, 0.5967170508675302, 0.5956227203621649, 0.597212597863063, 0.5957178367030806], 'val_epoch_duration': [310.3003177642822, 266.1215286254883, 269.4672899246216, 267.291433095932, 268.3816375732422, 267.60941195487976, 267.97623777389526], 'time_elapsed': 6747.738619089127}"
resnet50-freeze,cross_entropy,adam,step,1.0000000000000002e-06,512,0.9328315085158151,0.3362012460321625,4098.432512,7233.520846128464,"{'train_loss': [0.44297492692417806, 0.27362154410061024, 0.25237646924075174, 0.24281424486386172, 0.23353447140760564, 0.23011435380441234, 0.22479777844878834, 0.22255922783502452, 0.22051921076609854, 0.2179590709040635, 0.203348962631943, 0.20322446197032118, 0.203503498026748, 0.20281582014001157, 0.2020509840150192, 0.20290469418299148, 0.2027933869000078, 0.20134415125048444, 0.20148848860036345, 0.20130098320212134, 0.19936508858566604, 0.1991686144392534, 0.199455017176652, 0.19778224148561618, 0.1995569042589975, 0.19991041130720255, 0.19989059122452885, 0.19973406268621635, 0.19953038720299762, 0.19934208204823078, 0.1995436149623817], 'train_acc': [0.8801471071123662, 0.9164086061702138, 0.9213189122560633, 0.9233042520623791, 0.9258958024965774, 0.9262645806285393, 0.9277700036877813, 0.9281741441063698, 0.9288712863284347, 0.9289975802092437, 0.9331198124788458, 0.9329985703532693, 0.9331703300311693, 0.9337159195962637, 0.9332865204015135, 0.9327863966335103, 0.9330743466817546, 0.9334330213032518, 0.9334027107718577, 0.933564366939293, 0.9342514056508934, 0.9350293759566761, 0.9336755055544048, 0.9347010118665731, 0.9345039934125111, 0.9339836626235786, 0.9341099565043874, 0.9334532283241812, 0.9342008880985698, 0.9339634556026492, 0.9341806810776404], 'train_class_acc': [0.32202911488958436, 0.5152185925350388, 0.5587271827001132, 0.5744973071281733, 0.6002331735068004, 0.6040340172758054, 0.6121167708581008, 0.6185039269932855, 0.6267765971898567, 0.6264421398740297, 0.6553440923762572, 0.6623951490861977, 0.6599547035804596, 0.663116043515539, 0.6609180784811266, 0.6573401411006581, 0.6611990632934934, 0.6632939106372796, 0.6599200947787784, 0.6675571430113305, 0.6625041187873334, 0.6692982670682879, 0.668883245584173, 0.6657348492064867, 0.6678404750415416, 0.664972307622134, 0.6661032624654999, 0.6663434297565427, 0.6655072439378624, 0.6623204368020784, 0.6661249650496953], 'train_epoch_duration': [222.0150055885315, 220.60073971748352, 214.5209355354309, 215.5426061153412, 215.93150186538696, 215.10904026031494, 219.19733905792236, 215.59519028663635, 214.14939904212952, 214.87771153450012, 214.7473554611206, 225.4950499534607, 215.23207688331604, 214.59342741966248, 214.78761529922485, 215.48740124702454, 220.91191172599792, 214.348242521286, 214.52464723587036, 214.11219477653503, 215.3357400894165, 219.94511914253235, 214.72115087509155, 214.7445740699768, 214.65411853790283, 215.54053497314453, 225.2226140499115, 214.93917059898376, 215.87277102470398, 214.79728269577026, 216.144677400589], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.29036494953208886, 0.2290231271019237, 0.2130447363911464, 0.21173128410267425, 0.20993789979721217, 0.2100973266247125, 0.20999719674569847], 'val_acc': [0.9148114355231144, 0.9281326034063261, 0.9314933090024331, 0.9325577858880779, 0.9328467153284672, 0.9327098540145986, 0.9328315085158151], 'val_class_acc': [0.47978099501421784, 0.5929466282818764, 0.633636504962055, 0.6347453831750435, 0.6313142807735711, 0.629195655486782, 0.6354327652878687], 'val_epoch_duration': [292.3145182132721, 287.17993569374084, 287.69559264183044, 287.98018193244934, 287.7357943058014, 295.10156536102295, 289.1727068424225], 'time_elapsed': 7233.520846128464}"
resnet152-freeze,cross_entropy,adam,step,1.0000000000000002e-06,512,0.9309002433090025,0.3385109667091751,11534.315008,8974.588054895401,"{'train_loss': [0.4320261203200752, 0.27249452087654685, 0.25221371147408705, 0.2421111164178996, 0.235201740111207, 0.2300368720107743, 0.22717018901493916, 0.2234450185156375, 0.22064617595065164, 0.21868068564925836, 0.20414587359353828, 0.20294897589485536, 0.20288060193271376, 0.2033321559644461, 0.20254677075124353, 0.20276101677431763, 0.20307275592159466, 0.2025230633819006, 0.2018290991162733, 0.20216993945819164, 0.20002363453319633, 0.19999605323471475, 0.19982426722551563, 0.2001066473435213, 0.20037713352788947, 0.20054686219079018, 0.20004273253807758, 0.1998314632700462, 0.2007381655698314, 0.20079251975905832, 0.20005221793531391], 'train_acc': [0.8830973321680617, 0.9161560184085961, 0.9212936534799016, 0.9233143555728438, 0.9248955549605711, 0.9254714550570595, 0.9266485140261984, 0.927780107198246, 0.9282145581482286, 0.9288864415941319, 0.9329834150875722, 0.9329834150875722, 0.9327005167945602, 0.9335189011422018, 0.9326752580183985, 0.933079398436987, 0.9326499992422367, 0.9327914483887426, 0.9330895019474517, 0.9332865204015135, 0.9335542634288283, 0.9334986941212724, 0.9339887143788109, 0.9336704537991725, 0.9334835388555753, 0.933776540659052, 0.9338422134770726, 0.9337007643305666, 0.9340594389520639, 0.93349364236604, 0.9338573687427697], 'train_class_acc': [0.3340799606915412, 0.516509119628023, 0.5619545719953624, 0.5849266206266776, 0.5946769702005218, 0.6040039442124895, 0.6160366279787799, 0.6228041381035417, 0.62125202748891, 0.6251477087536934, 0.6672940442109989, 0.6615503543514668, 0.6620946073153845, 0.6633080855545136, 0.6600543493374689, 0.6620898657340577, 0.6626782245788271, 0.6650657567787988, 0.6625671091516023, 0.6650795269028458, 0.6647473159099732, 0.671862533133265, 0.669493898374646, 0.6672703689582207, 0.6652001921380853, 0.6691656084943814, 0.6686078659379353, 0.6655126341627287, 0.6642305732900874, 0.6690943433401407, 0.6727581981200811], 'train_epoch_duration': [272.440553188324, 272.30569767951965, 269.8403232097626, 268.6708540916443, 268.6374146938324, 269.57326793670654, 272.676167011261, 269.39554238319397, 268.47801637649536, 267.49435210227966, 269.73316717147827, 272.4094760417938, 269.0977141857147, 269.06147503852844, 269.2221167087555, 269.86657881736755, 272.6835720539093, 270.98627400398254, 269.2230291366577, 268.03632402420044, 269.15526127815247, 271.6811475753784, 269.1360239982605, 267.70494532585144, 268.1369278430939, 268.7983093261719, 272.55161142349243, 268.8248562812805, 267.83622765541077, 268.11559414863586, 268.10006499290466], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.2994332703795746, 0.23526357489200694, 0.2197443375332222, 0.2194524784230258, 0.21681564697528988, 0.2160196931547782, 5.806947810801135e+27], 'val_acc': [0.9092609489051096, 0.9261861313868613, 0.929455596107056, 0.9305200729927008, 0.9308698296836984, 0.9309610705596107, 0.9308850364963505], 'val_class_acc': [0.4585652333264464, 0.584894269531084, 0.6163954862315267, 0.6217013656248052, 0.6222197678355826, 0.6216599909737824, 0.624729924175435], 'val_epoch_duration': [359.37431049346924, 355.4026641845703, 355.1036365032196, 355.84581661224365, 354.46114468574524, 354.1996371746063, 353.96939277648926], 'time_elapsed': 8974.588054895401}"
