model_name,loss_function,optimizer,scheduler,learning_rate,batch_size,per_image_accuracy,per_class_accuracy,MACs,wall_time,history
resnet18,CrossEntropyLoss(),adam,step,1.0000000000000002e-06,512,0.9542274939172749,0.5395326360074406,,7137.868660926819,"{'train_loss': [0.2689166330974463, 0.18213335653748425, 0.1661636959338983, 0.1542246264748873, 0.1472801681450614, 0.13975564325535886, 0.13490940313783162, 0.13010614865046952, 0.12492561922848187, 0.1204465328619533, 0.09609765786270896, 0.08857744392408345, 0.08453538124329131, 0.08213335423708629, 0.07856351940461144, 0.07474350937973569, 0.07179632160481718, 0.06766606356842982, 0.06444286953651147, 0.059796316593416596, 0.053394352595029206, 0.05204986784873446, 0.05099290395732971, 0.05000369246454424, 0.0487982085559389, 0.04838527362659145, 0.047255033489687195, 0.04633905193252488, 0.046662827831436965, 0.04573111889791652, 0.044781929560879216], 'train_acc': [0.9232688897757526, 0.941152103298291, 0.945132886421387, 0.948073007966618, 0.9503311425554809, 0.9518365656147229, 0.9536855080297649, 0.9544230642936888, 0.9556001232628276, 0.9573227717970608, 0.9652136134700001, 0.9674869033245601, 0.9688862395239226, 0.9694217255785522, 0.9711191153366237, 0.9719728619708917, 0.9736702517289633, 0.9748776212294962, 0.9763981995544352, 0.9779844506973948, 0.9805962081525226, 0.9817025425484084, 0.9819450267995615, 0.9821875110507146, 0.9825916514693029, 0.9828947567832443, 0.9834605533692682, 0.9837181928861183, 0.9837030376204212, 0.9838697455430889, 0.9846224570727099], 'train_class_acc': [0.4708781195209844, 0.615973231756355, 0.6634784822813816, 0.6961702233617703, 0.7117044623553953, 0.7347447492985071, 0.7439606286257026, 0.7610446486911274, 0.7729365853976905, 0.7872556130758263, 0.8447730484329935, 0.8668466746640054, 0.8776745415789192, 0.8798985351618941, 0.8914441111525463, 0.8988561490280769, 0.9091827185888212, 0.9143063413020346, 0.9213802525871746, 0.9309356595111276, 0.9421605277963077, 0.9451256896100617, 0.946585953337311, 0.9499741888381891, 0.9505881964831865, 0.9532592943199479, 0.9536697470430227, 0.9568056871914187, 0.9556358861686132, 0.9559519389869993, 0.9591517132585574], 'train_epoch_duration': [268.06432843208313, 216.221675157547, 207.52457451820374, 208.32328963279724, 207.0679807662964, 210.64057898521423, 221.2028205394745, 207.78303694725037, 205.0832817554474, 206.40063619613647, 208.10502099990845, 222.15277552604675, 206.176673412323, 210.6256604194641, 208.22115325927734, 208.0198085308075, 224.69076800346375, 208.85259699821472, 207.5223367214203, 207.25470352172852, 207.3315098285675, 219.06363010406494, 209.71493268013, 205.8458263874054, 206.55327343940735, 207.52116775512695, 222.78194284439087, 211.17574977874756, 207.93383121490479, 207.33216547966003, 206.41219449043274], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.246439024820525, 0.22888719961591011, 0.132390512826959, 0.13891898740237066, 0.15236961617521996, 0.15885348377291594, 0.16243216702827862], 'val_acc': [0.9284519464720196, 0.9298661800486618, 0.9553832116788321, 0.9550638686131387, 0.9544708029197081, 0.9543187347931874, 0.954227493917275], 'val_class_acc': [0.5181024169511539, 0.6150167583386258, 0.7835449335592142, 0.7765329486187383, 0.7923887940485784, 0.790180182066879, 0.7866319559800823], 'val_epoch_duration': [340.11661171913147, 289.8680772781372, 287.5567193031311, 288.63851833343506, 286.5595769882202, 286.34441685676575, 285.80396723747253], 'time_elapsed': 7137.868660926819}"
resnet50,CrossEntropyLoss(),adam,step,1.0000000000000002e-06,512,0.9522049878345499,0.5585890386706034,,8265.1978328228,"{'train_loss': [0.2996703496625234, 0.2083915021680604, 0.18369107208420163, 0.17008450907575778, 0.15940670837691823, 0.15167137739040193, 0.1443066673278875, 0.13998364254841827, 0.13598552478551498, 0.13047284776267482, 0.10549436169733481, 0.09795686268881915, 0.09431087808060004, 0.09176408601728069, 0.0875385149637164, 0.08400565249281024, 0.08024460003149195, 0.07612333070822727, 0.07160415603938462, 0.0664160091200034, 0.05748475947269592, 0.055864844800270874, 0.05453099197734751, 0.053415252145865, 0.052357971717549856, 0.05058455045940048, 0.04974291943459195, 0.049075441930989123, 0.04765835879830654, 0.04660544138128096, 0.04585545954511738], 'train_acc': [0.9140393329662391, 0.934089749483458, 0.9409146708023702, 0.9443347090946749, 0.9472091578218852, 0.9491136695444832, 0.9512404584973049, 0.9521901884809877, 0.9527963991088704, 0.9543169774338094, 0.9622078191067486, 0.9646276098630469, 0.9660673601042682, 0.9668705891862127, 0.9682850806512723, 0.9695480194593611, 0.9707654924703588, 0.9718566716005476, 0.9740036675742987, 0.975670746800976, 0.9796818404554662, 0.9802122747548636, 0.9808336406484433, 0.9816621285065495, 0.9822178215821087, 0.9824855646094235, 0.982975584866962, 0.9830261024192856, 0.9837939692146036, 0.983900056074483, 0.9841172815494743], 'train_class_acc': [0.3651761814740903, 0.5367026153815141, 0.6164878079790264, 0.6490268149946807, 0.6801545294786728, 0.7008315555563539, 0.7193741653899952, 0.7386613648539145, 0.7434183629482276, 0.7582863803381938, 0.818222782343757, 0.8345209039435058, 0.8502353091106437, 0.8578330937665543, 0.8645255199909794, 0.8719497421346364, 0.8800900982949674, 0.8863355106722897, 0.8945793609268188, 0.902218410728436, 0.9245314947283855, 0.9256309386928211, 0.9247736148012344, 0.9329015293600177, 0.9318576571103723, 0.9332034971970516, 0.9353387827400984, 0.9376864675661759, 0.9401381526244039, 0.9393538194763896, 0.9390988987318823], 'train_epoch_duration': [262.4803557395935, 249.17738223075867, 245.4111840724945, 247.35632038116455, 247.27066588401794, 247.19765830039978, 249.10246992111206, 245.40689969062805, 247.2989776134491, 247.59294199943542, 247.03071117401123, 249.85931038856506, 246.00491046905518, 247.4201898574829, 247.67204809188843, 247.0575852394104, 249.94448280334473, 245.2287085056305, 247.94023299217224, 247.6586971282959, 247.867201089859, 250.07673239707947, 245.60075569152832, 247.168071269989, 247.3703374862671, 248.33881068229675, 249.4160041809082, 246.02178192138672, 247.09230399131775, 247.06162214279175, 247.26003122329712], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.32384634679251345, 0.26643617740512765, 0.13367598330887565, 0.14476385789486035, 0.15316337525409504, 0.16225496312997637, 0.17040607544192432], 'val_acc': [0.9026155717761558, 0.9237378345498783, 0.9545924574209246, 0.9520225060827251, 0.9532846715328468, 0.9528284671532847, 0.9522049878345499], 'val_class_acc': [0.39990130260452045, 0.5221956795893397, 0.7700341236067293, 0.7870864201874307, 0.779398561611378, 0.7816646303204797, 0.7836131070497672], 'val_epoch_duration': [334.8658957481384, 328.9277820587158, 329.1835424900055, 329.09455251693726, 329.9025709629059, 330.8572723865509, 329.8227071762085], 'time_elapsed': 8265.1978328228}"
resnet152,CrossEntropyLoss(),adam,step,1.0000000000000002e-06,512,0.9528892944038929,0.5382763774376206,,15080.444320678711,"{'train_loss': [0.31627048507683064, 0.21800644211117842, 0.188156714759744, 0.1738804729901249, 0.1626743979665834, 0.15531935427824947, 0.1485715678628464, 0.14343111274578751, 0.1386090081407678, 0.13484609897934047, 0.11060025498380366, 0.1026803584008628, 0.0986944610643636, 0.09596292415106755, 0.09264466833138266, 0.0894180096820971, 0.0863983151243037, 0.0821201968205761, 0.07828449500087896, 0.07363133950733985, 0.06573310548934766, 0.06248065057559623, 0.061105455302965586, 0.05975641011489438, 0.05840450554905321, 0.057127356199842425, 0.05535943553505044, 0.05444630491189133, 0.05345044379302039, 0.052595644257468696, 0.05038927076418065], 'train_acc': [0.9098968936757076, 0.9320538921248187, 0.939560800400099, 0.9433597203348303, 0.9455622856161373, 0.9477648508974443, 0.9495683275153952, 0.9509626119595254, 0.9525033973053938, 0.9529024859687498, 0.9609650873195892, 0.9630413587200872, 0.9641931589130643, 0.9653247520851119, 0.9664411899914626, 0.9673505059332865, 0.9687195316012548, 0.9697096756267966, 0.9714323241610298, 0.9731600244504953, 0.9764739758829205, 0.9778682603270507, 0.9784795227101656, 0.9790352157857247, 0.9792625447711807, 0.9799647387484781, 0.9805608458658961, 0.9810508661234346, 0.98138428196877, 0.9815813004228319, 0.9823491672181499], 'train_class_acc': [0.33354430619835995, 0.51665345474679, 0.6028266179812938, 0.6428759992685208, 0.668807997941715, 0.6932299286258627, 0.7028280596447584, 0.7224488344945804, 0.7405870688869314, 0.7493366129833363, 0.8084992790170532, 0.8278466511710609, 0.8395529318284495, 0.8456326754016532, 0.853554042797043, 0.8615645118641907, 0.8684801917810605, 0.8749135748797354, 0.8871891600078857, 0.8930178029288837, 0.9154699824974291, 0.9209723857718535, 0.9221272155500061, 0.9263598139987899, 0.92555480075922, 0.9287568897323132, 0.9323758630737622, 0.9329500804991581, 0.9346069487691535, 0.9367985986933755, 0.9403223017973149], 'train_epoch_duration': [460.36842155456543, 460.59713792800903, 467.97561860084534, 467.75724840164185, 467.89207196235657, 467.7669701576233, 459.55602288246155, 468.61096119880676, 468.029593706131, 467.22546458244324, 468.43175745010376, 458.3932752609253, 468.2216455936432, 466.8616364002228, 466.90477204322815, 466.64532828330994, 457.76988983154297, 467.396582365036, 466.81192994117737, 466.3452274799347, 466.9091351032257, 456.68054842948914, 469.0055582523346, 466.8949353694916, 467.2565906047821, 466.8393979072571, 457.3641839027405, 467.2570252418518, 467.0018973350525, 466.5487198829651, 466.54714918136597], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.6214075069067833, 0.9121876872368972, 0.14337294578117177, 0.13922142912871646, 0.14376025940597492, 0.15168198353617732, 0.15928409144898692], 'val_acc': [0.8492548661800488, 0.6818734793187349, 0.9522506082725062, 0.9547293187347933, 0.9543491484184915, 0.9532998783454988, 0.952889294403893], 'val_class_acc': [0.30186036746319134, 0.5139965732592321, 0.7530697762942375, 0.759464610552897, 0.7792232334099392, 0.7805058233363882, 0.7757827915700243], 'val_epoch_duration': [546.5996603965759, 557.9376223087311, 558.2666704654694, 556.6648154258728, 556.8372769355774, 556.4605631828308, 556.1366019248962], 'time_elapsed': 15080.444320678711}"
