model_name,loss_function,optimizer,scheduler,learning_rate,batch_size,per_image_accuracy,per_class_accuracy,MACs,wall_time,history
resnet18-WHOI2014-train_padToSize,cross_entropy,adam,step,1.0000000000000002e-06,512,0.9475973236009733,0.40028062362465666,1816.090624,7140.778559923172,"{'train_loss': [0.27381146976476806, 0.19927982874683814, 0.18443639430051398, 0.17658961317247032, 0.16927648085952465, 0.16453053608748475, 0.1602867357857969, 0.15847149720137202, 0.15249711615398, 0.1514870784266843, 0.11985885247754294, 0.11026432399697339, 0.10522194341042707, 0.10004545295118834, 0.09614287724623706, 0.0906265906774621, 0.0853195266417698, 0.07917566674368468, 0.07432423360975973, 0.06769248939984246, 0.05366530845976239, 0.04998949080787958, 0.047625721097930444, 0.044935913152062336, 0.04308979341218105, 0.04079256017517617, 0.03891369614915248, 0.037151921007161054, 0.03422714416885118, 0.03291796319808739, 0.029827564790898438], 'train_acc': [0.9206066147683012, 0.936746972735677, 0.9403236154401847, 0.9427686649726448, 0.944804522331284, 0.9455976479027638, 0.9471889508009558, 0.9472798823951382, 0.9496491555991129, 0.9495784310258599, 0.9588989194295557, 0.9617026435835131, 0.9635465342433228, 0.9650216467711706, 0.9662037574955418, 0.9681992008123222, 0.9700531949825967, 0.9723770023894802, 0.9739784087981369, 0.9764840793933852, 0.9820763724356028, 0.9836373648024006, 0.9846881298907305, 0.985562083545928, 0.9860773625796283, 0.9871129724022611, 0.9876029926597997, 0.988588084930109, 0.9894317280539123, 0.9902501124015539, 0.9912402564270956], 'train_class_acc': [0.436143786324571, 0.5600949833189769, 0.6034837141228576, 0.6232059680937636, 0.643741425933861, 0.6508211510094974, 0.6606621474598433, 0.6688581064534231, 0.688289693922656, 0.6866999641381882, 0.7697182954869904, 0.7877297345428856, 0.7995745769896158, 0.8115336177218154, 0.822445746781064, 0.8319729021939077, 0.8460347586827853, 0.8570192152107571, 0.8654626800003963, 0.8787274313979229, 0.9099658531693302, 0.9212720682856447, 0.9242039635374969, 0.9280688425576371, 0.9295346993216017, 0.9351747077565513, 0.9376228616268442, 0.9420576658288845, 0.9442568589897287, 0.9495659509109681, 0.9502396721275618], 'train_epoch_duration': [251.32938861846924, 217.5014796257019, 210.35804915428162, 211.00689554214478, 211.14841961860657, 211.60511374473572, 216.90517044067383, 211.75876641273499, 210.76444602012634, 210.9663383960724, 211.60863614082336, 218.41157793998718, 210.44414401054382, 211.11543035507202, 211.45085215568542, 216.03550553321838, 215.84761095046997, 212.2742304801941, 212.43753910064697, 211.18789148330688, 211.06967115402222, 218.677663564682, 210.70964407920837, 211.4883325099945, 210.9744598865509, 211.26518750190735, 217.64516973495483, 215.30502676963806, 210.30796647071838, 211.63636779785156, 211.78415513038635], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.3648747826144643, 0.2032794644870317, 0.14493865945768472, 0.15228649924561344, 0.17204274897012686, 0.19909346466951997, 0.218523110590712], 'val_acc': [0.9126824817518249, 0.9386709245742093, 0.9525699513381995, 0.9514902676399027, 0.9502889294403893, 0.9483728710462288, 0.9475973236009733], 'val_class_acc': [0.4310683347100795, 0.5538535743087774, 0.7244480964961698, 0.7443054073130939, 0.7302607694249589, 0.7276120185522688, 0.7235011286583344], 'val_epoch_duration': [322.45645356178284, 281.63460898399353, 281.4764516353607, 285.62733340263367, 280.2546110153198, 281.9109377861023, 288.3754324913025], 'time_elapsed': 7140.778559923172}"
resnet18-WHOI2014-train_augmix,cross_entropy,adam,step,1.0000000000000002e-06,512,0.954896593673966,0.4015984360182384,1816.090624,48997.10258054733,"{'train_loss': [0.3176988322142156, 0.2425432832551344, 0.22725324976430453, 0.2188154388704448, 0.2141910573537874, 0.20890512139663664, 0.20659908664688673, 0.20299434043953823, 0.20015772145475366, 0.1961098909105549, 0.16744609075036943, 0.15689413324525014, 0.15422678736969367, 0.15117887713598815, 0.15024576697426162, 0.1477554381649037, 0.1465923198958168, 0.1447180385263825, 0.14411720916939808, 0.1434437814706651, 0.13836163326356188, 0.13597640596929483, 0.13509056115027782, 0.13517686092162684, 0.13466100812023954, 0.13349523924282816, 0.133172291291261, 0.1327951825523348, 0.13284380939330062, 0.13244191024452315, 0.13147185318458293], 'train_acc': [0.9084268329030921, 0.9243196548640825, 0.9271738965703633, 0.930578779596971, 0.931417370965542, 0.9322660658445777, 0.9336704537991725, 0.9343675960212375, 0.9349637031386555, 0.9363731428484827, 0.9440164485150365, 0.9474112280311794, 0.9480426974352238, 0.9488055124753095, 0.9490884107683214, 0.9494723441659805, 0.9500179337310748, 0.949977519689216, 0.950502902233381, 0.9506494031351193, 0.9524831902844643, 0.9528368131507292, 0.953316729897803, 0.9534379720233795, 0.9532965228768735, 0.9536754045193002, 0.953544058883259, 0.9539583028123121, 0.9540542861617268, 0.9537208703163914, 0.9542108905739299], 'train_class_acc': [0.37182720548317866, 0.49521284431645934, 0.52375366950282, 0.548119524230706, 0.5566799077696046, 0.5710692608018715, 0.5781493656835373, 0.5898461158236322, 0.5984844826116007, 0.6044813640562636, 0.6649790627134806, 0.6955101891874915, 0.6995159962219846, 0.7104677617152565, 0.7126451237705029, 0.7153031709321286, 0.7207407749293157, 0.722470632539379, 0.7286871822797584, 0.7326966541997687, 0.7447448019095351, 0.7477543330805735, 0.7564252909269635, 0.7523205451302687, 0.752172182192803, 0.7532342148253255, 0.7518720265094748, 0.7566867879916689, 0.7551935812083523, 0.7575473500859806, 0.7552908266754975], 'train_epoch_duration': [1566.3390953540802, 1567.301471710205, 1565.9649472236633, 1559.2029972076416, 1558.1345822811127, 1551.6169476509094, 1564.9231660366058, 1562.029942035675, 1556.132570028305, 1553.913923740387, 1556.2792992591858, 1570.556296825409, 1560.1928598880768, 1554.7596650123596, 1554.3584196567535, 1558.298582315445, 1570.801786184311, 1557.2816843986511, 1554.0769917964935, 1559.0187888145447, 1561.718744277954, 1575.6579358577728, 1557.4519069194794, 1553.4401636123657, 1557.5510942935944, 1566.6882467269897, 1582.6090967655182, 1559.8904023170471, 1553.888683795929, 1554.9002089500427, 1556.3746638298035], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.26999572443701053, 0.19860159677890676, 0.15283046178429086, 0.14523374507171974, 0.1384739379849457, 0.13705161375575983, 0.1358222290529097], 'val_acc': [0.9188412408759125, 0.9366788321167884, 0.9492396593673966, 0.9513686131386861, 0.9541666666666667, 0.9545316301703164, 0.954896593673966], 'val_class_acc': [0.3843352400118626, 0.5765294125031042, 0.6964849370231637, 0.718276079803715, 0.7416324043793958, 0.7398456642918776, 0.7387022671656819], 'val_epoch_duration': [1644.2084338665009, 1631.3399059772491, 1641.4773948192596, 1646.6462433338165, 1655.7761516571045, 1658.2537770271301, 1647.5621151924133], 'time_elapsed': 48997.10258054733}"
resnet50-WHOI2014-train_padToSize,cross_entropy,adam,step,1.0000000000000002e-06,512,0.950897201946472,0.38423628666630916,4098.432512,9157.508564710617,"{'train_loss': [0.3087030302730228, 0.2208331471183532, 0.2021422742529336, 0.1923885247659834, 0.18553241089522143, 0.1810350574253749, 0.17562863703497636, 0.1728270358858154, 0.16922905818882397, 0.16572116133510614, 0.13697319996432633, 0.12807767868278963, 0.12404206763314075, 0.11931398588385447, 0.11625197277279789, 0.11281682967633185, 0.10909593653705482, 0.10538384232968787, 0.10109375794927429, 0.09740795687049303, 0.08592486130794302, 0.08262696557250977, 0.08046179146162333, 0.07883126116802514, 0.07715281488398726, 0.07552217751485166, 0.07385320087080102, 0.07244086784248972, 0.07148646297772566, 0.0697815432702618, 0.06741127278529208], 'train_acc': [0.9111446772180994, 0.9306798147016181, 0.9359588989194295, 0.9388737616884987, 0.9403034084192553, 0.9415107779197882, 0.9431020808179802, 0.9435870493202864, 0.9447287460027987, 0.9455521821056726, 0.9546049274820536, 0.9568883208470783, 0.9582826052912085, 0.9596869932458032, 0.9604245495097271, 0.9617885234224631, 0.9624755621340635, 0.9641527448712055, 0.9651731994281413, 0.9668301751443539, 0.9706240433238529, 0.9716697566569504, 0.9722052427115802, 0.9731499209400306, 0.9739986158190663, 0.9743572904405635, 0.974761430859152, 0.9753423827108729, 0.9752817616480846, 0.9763981995544352, 0.9774994821950886], 'train_class_acc': [0.3476627297591951, 0.49113253683437225, 0.5492711451183264, 0.586091469455533, 0.5975449239262969, 0.6087912820710307, 0.6219870993785439, 0.6309806028202016, 0.6357233362931028, 0.6471412517286281, 0.7095987146941333, 0.7315729333143587, 0.7451525316302686, 0.7522976859325463, 0.76117697574993, 0.767975700972707, 0.7749504687230496, 0.7832812781106392, 0.7904540737922257, 0.8040432870763025, 0.8263377815859749, 0.831463180655726, 0.8339178454791458, 0.8441631813747004, 0.847306236141725, 0.8477331980210568, 0.8492289945297934, 0.8514989135708, 0.8550796803180652, 0.8589235031777193, 0.8630122675155636], 'train_epoch_duration': [279.807080745697, 275.3989942073822, 279.8807842731476, 277.281378030777, 276.76974654197693, 276.3191924095154, 272.6776897907257, 278.144100189209, 276.3235237598419, 277.20876383781433, 276.61863470077515, 270.5282051563263, 277.90667963027954, 276.65362095832825, 277.7751159667969, 276.2575967311859, 271.21451330184937, 277.1870698928833, 276.0885398387909, 275.5019612312317, 275.25391483306885, 273.34228324890137, 277.6280879974365, 275.87970995903015, 274.91619324684143, 276.8759412765503, 272.71031641960144, 278.7801682949066, 276.0583071708679, 277.3766984939575, 274.9794328212738], 'val_epochs': [0, 5, 10, 15, 20, 25, 30], 'val_loss': [0.2972888738714575, 4.562483650402431, 0.15275453081096177, 0.15148393349345873, 0.15636482190911788, 0.16130256730419587, 0.168724481968114], 'val_acc': [0.9197232360097324, 0.14212287104622873, 0.9498023114355232, 0.9505170316301703, 0.9513838199513382, 0.9503801703163017, 0.9508972019464721], 'val_class_acc': [0.45053987794288913, 0.15612804993387888, 0.7009300658730989, 0.7101117513883995, 0.7400225331848006, 0.7303530952842692, 0.7340090404169127], 'val_epoch_duration': [355.39211869239807, 359.5484256744385, 360.97368240356445, 360.943359375, 359.36199164390564, 362.2127594947815, 360.42925572395325], 'time_elapsed': 9157.508564710617}"
